"#","Collection","Volume (7d)","Sales (7d)","Volume (All Time)","Sales (All Time)","Avg Price (7d)","Total Supply","Owners","Owners%","Estimated Market Cap","Added"
"42","Killer GF","4.67 ETH","32","21,354.75 ETH","17,067","0.15 ETH","7,777","3,875","49.83%","1,134.28 ETH","2022/06/30"
"43","Murakami.Flowers Official","78.47 ETH","68","20,354.06 ETH","5,016","1.15 ETH","9,974","5,822","58.37%","11,509.09 ETH","2022/08/12"
"44","DeGods (33.3%)","1,585.03 ETH","356","20,306.36 ETH","10,260","4.45 ETH","9,989","4,399","44.04%","44,474.45 ETH","2022/06/01"
"45","MoonCats","13.05 ETH","37","19,190.82 ETH","18,835","0.35 ETH","19,301","5,904","30.59%","6,804.93 ETH","2022/06/24"
"46","JUNGLE FREAKS GENESIS","4.62 ETH","57","18,885.44 ETH","22,718","0.08 ETH","9,985","2,151","21.54%","808.91 ETH","2022/08/19"
"47","Rumble Kong League","15.95 ETH","24","18,571.91 ETH","13,977","0.66 ETH","9,998","3,044","30.45%","6,644.61 ETH","2022/07/22"
"48","Bears Deluxe","3.17 ETH","26","18,469.52 ETH","25,504","0.12 ETH","6,389","2,551","39.93%","779.29 ETH","2022/08/14"
"49","DEGEN TOONZ COLLECTION","137.62 ETH","167","18,390.80 ETH","24,033","0.82 ETH","8,888","4,003","45.04%","7,324.56 ETH","2022/07/25"
"50","Lil' Heroes by Edgar Plans","21.79 ETH","62","18,388.20 ETH","10,382","0.35 ETH","7,777","3,698","47.55%","2,732.71 ETH","2022/07/25"
"51","GalacticApes","0.98 ETH","42","18,145.17 ETH","22,627","0.02 ETH","9,180","3,435","37.42%","213.84 ETH","2022/08/08"
"52","Project NANOPASS","55.35 ETH","113","17,636.37 ETH","11,196","0.49 ETH","5,555","3,605","64.90%","2,721.03 ETH","2022/06/29"
"53","Inhabitants: Generative Identities (MetaHero)","24.62 ETH","34","17,492.27 ETH","4,288","0.72 ETH","7,167","2,645","36.91%","5,190.01 ETH","2022/07/28"
"54","My Pet Hooligan","43.30 ETH","41","17,032.42 ETH","19,248","1.06 ETH","8,888","4,202","47.28%","9,385.94 ETH","2022/06/29"
"55","MutantCats","2.03 ETH","16","16,727.33 ETH","26,134","0.13 ETH","9,999","1,770","17.70%","1,268.75 ETH","2022/07/23"
"56","Boss Beauties","7.49 ETH","32","15,900.29 ETH","21,815","0.23 ETH","10,000","5,544","55.44%","2,339.18 ETH","2022/07/25"
"57","Robotos","4.44 ETH","33","15,688.11 ETH","26,077","0.13 ETH","9,998","5,595","55.96%","1,344.75 ETH","2022/07/19"
"58","Forgotten Runes Wizards","10.66 ETH","13","15,145.87 ETH","15,991","0.82 ETH","9,318","2,972","31.90%","7,637.51 ETH","2021/07/05"
"59","HYPEBEARSCLUB.OFFICIAL","0.28 ETH","19","15,118.30 ETH","17,767","0.01 ETH","9,999","3,410","34.10%","148.53 ETH","2022/07/05"
"60","Galaxy-Eggs","8.83 ETH","45","14,992.92 ETH","20,122","0.20 ETH","9,998","4,398","43.99%","1,962.92 ETH","2022/07/19"
"61","CryptoMories","14.57 ETH","92","14,481.59 ETH","29,315","0.16 ETH","10,000","5,107","51.07%","1,583.55 ETH","2022/08/03"
"62","Akutars","22.48 ETH","48","13,849.92 ETH","7,555","0.47 ETH","15,000","5,133","34.22%","7,024.03 ETH","2022/06/24"
"63","THE SHIBOSHIS","29.52 ETH","49","13,811.04 ETH","11,532","0.60 ETH","9,993","3,488","34.90%","6,020.30 ETH","2022/07/24"
"64","Chimpers","102.56 ETH","60","13,068.29 ETH","4,787","1.71 ETH","5,555","798","14.37%","9,495.13 ETH","2022/08/30"
"65","Koala Intelligence Agency","3.94 ETH","137","13,063.85 ETH","20,916","0.03 ETH","10,000","4,887","48.87%","287.73 ETH","2022/07/09"
"66","Crypto.Chicks","15.19 ETH","98","12,994.07 ETH","24,436","0.15 ETH","9,999","4,413","44.13%","1,549.43 ETH","2022/07/31"
"67","OxyaOriginProject","2.40 ETH","15","12,940.77 ETH","14,162","0.16 ETH","7,898","1,470","18.61%","1,264.63 ETH","2022/07/27"
"68",""MOAR" by Joan Cornella","17.36 ETH","35","12,824.01 ETH","8,720","0.50 ETH","5,555","2,962","53.32%","2,755.41 ETH","2022/08/09"
"69","OnChainMonkey","24.46 ETH","29","12,725.14 ETH","18,869","0.84 ETH","9,500","3,017","31.76%","8,013.90 ETH","2021/09/23"
"70","The Humanoids","2.29 ETH","27","12,613.64 ETH","24,112","0.08 ETH","10,000","3,814","38.14%","847.50 ETH","2022/07/27"
"71","The Heart Project","1.03 ETH","20","12,589.85 ETH","25,469","0.05 ETH","9,931","5,641","56.80%","510.75 ETH","2022/08/16"
"72","The Sevens - Genesis","0.97 ETH","13","12,500.04 ETH","13,678","0.07 ETH","7,000","2,917","41.67%","521.98 ETH","2021/09/10"
"73","Sappy Seals","204.99 ETH","218","12,146.60 ETH","26,296","0.94 ETH","10,000","1,917","19.17%","9,403.09 ETH","2022/07/03"
"74","PEACEFUL GROUPIES","0.39 ETH","13","12,023.31 ETH","22,243","0.03 ETH","9,998","2,338","23.38%","299.49 ETH","2022/08/01"
"75","CryptoDickbutts","47.32 ETH","21","11,832.41 ETH","10,347","2.25 ETH","5,198","1,806","34.74%","11,713.56 ETH","2022/07/21"
"76","Desperate ApeWives","8.51 ETH","30","11,820.30 ETH","15,810","0.28 ETH","10,000","4,090","40.90%","2,836.11 ETH","2022/07/24"
"77","FVCK_CRYSTAL//","3.17 ETH","8","11,797.25 ETH","5,847","0.40 ETH","4,165","1,227","29.46%","1,648.87 ETH","2022/08/12"
"78","We Are All Going to Die","1.30 ETH","24","11,674.74 ETH","19,153","0.05 ETH","5,918","2,093","35.37%","319.64 ETH","2022/08/29"
"79","Boki","8.29 ETH","100","11,381.67 ETH","26,825","0.08 ETH","7,777","3,618","46.52%","644.70 ETH","2022/08/29"
"80","The CryptoDads","2.73 ETH","37","11,213.51 ETH","17,581","0.07 ETH","10,000","6,027","60.27%","736.65 ETH","2022/06/29"
"81","Animetas","1.37 ETH","16","11,044.57 ETH","20,535","0.09 ETH","10,100","3,926","38.87%","866.06 ETH","2022/08/29"
"82","Ape Kids Club (AKC)","0.28 ETH","10","11,038.16 ETH","20,938","0.03 ETH","9,999","4,724","47.24%","280.17 ETH","2022/07/17"
"83","ALPACADABRAZ","4.53 ETH","38","10,118.12 ETH","17,279","0.12 ETH","9,669","4,426","45.78%","1,152.55 ETH","2022/07/24"
"84","SUPERPLASTIC: Cryptojankyz","0.20 ETH","8","9,753.82 ETH","18,735","0.03 ETH","13,901","5,801","41.73%","348.22 ETH","2022/08/11"
"85","Cool Monkes Genesis","0.13 ETH","15","9,536.85 ETH","19,309","0.01 ETH","10,000","911","9.11%","88.91 ETH","2022/07/25"
"86","The Wicked Craniums","1.71 ETH","26","9,408.26 ETH","24,162","0.07 ETH","10,762","4,488","41.70%","707.03 ETH","2021/06/21"
"87","VOX Collectibles: Mirandus","15.07 ETH","20","9,249.61 ETH","3,317","0.75 ETH","8,463","3,348","39.56%","6,376.36 ETH","2022/08/16"
"88","GEVOLs","9.00 ETH","58","9,100.22 ETH","13,476","0.16 ETH","8,888","3,473","39.08%","1,379.67 ETH","2022/08/19"
"89","Winter Bears","0.10 ETH","8","9,000.90 ETH","23,700","0.01 ETH","9,999","4,580","45.80%","127.36 ETH","2022/07/30"
"90","IlluminatiNFT by Truth Labs","20.85 ETH","56","8,766.15 ETH","14,812","0.37 ETH","8,127","3,714","45.70%","3,025.23 ETH","2022/07/28"
"91","FishyFam","1.57 ETH","53","8,659.97 ETH","20,501","0.03 ETH","9,999","5,375","53.76%","295.47 ETH","2022/07/25"
"92","BASTARD GAN PUNKS V2","3.75 ETH","17","8,475.56 ETH","13,272","0.22 ETH","11,299","2,788","24.67%","2,493.44 ETH","2022/07/05"
"93","The Vogu Collective","1.15 ETH","12","8,378.08 ETH","12,729","0.10 ETH","7,777","2,782","35.77%","746.21 ETH","2022/08/29"
"94","Apocalyptic Apes","14.10 ETH","82","8,352.28 ETH","15,945","0.17 ETH","8,888","3,339","37.57%","1,528.47 ETH","2022/08/03"
"95","Metasaurs by Dr. DMT","0.03 ETH","4","8,248.50 ETH","16,937","0.01 ETH","9,999","4,811","48.11%","76.99 ETH","2022/07/25"
"96","Galaxy Fight Club","4.51 ETH","18","8,191.70 ETH","17,994","0.25 ETH","10,129","3,119","30.79%","2,539.00 ETH","2022/08/10"
"97","rektguy","285.30 ETH","269","7,925.66 ETH","13,181","1.06 ETH","8,814","4,136","46.93%","9,347.99 ETH","2022/08/30"
"98","Habbo Avatars","18.32 ETH","62","7,899.54 ETH","17,871","0.30 ETH","11,600","4,479","38.61%","3,426.91 ETH","2022/07/30"
"99","Stoner Cats","1.14 ETH","13","7,839.43 ETH","11,182","0.09 ETH","10,420","5,125","49.18%","912.48 ETH","2022/08/14"
"100","Nifty League DEGENs","2.12 ETH","27","7,778.83 ETH","15,449","0.08 ETH","9,903","3,182","32.13%","778.62 ETH","2022/08/14"
"101","Wicked Ape Bone Club","0.40 ETH","13","7,722.48 ETH","23,671","0.03 ETH","9,998","4,842","48.43%","311.09 ETH","2022/07/15"
"102","Cupcats Official","1.12 ETH","14","7,672.79 ETH","10,635","0.08 ETH","5,024","1,752","34.87%","400.67 ETH","2022/08/08"
"103","Swampverse","8.25 ETH","63","7,562.81 ETH","21,600","0.13 ETH","7,020","2,980","42.45%","919.04 ETH","2022/07/17"
"104","Los Muertos World","11.74 ETH","95","7,494.11 ETH","26,813","0.12 ETH","10,000","2,661","26.61%","1,235.96 ETH","2022/06/30"
"105","KILLABEARS","169.73 ETH","44","7,428.85 ETH","12,223","3.86 ETH","3,333","623","18.69%","12,857.19 ETH","2022/06/24"
"106","Gray Boys","9.98 ETH","123","7,367.45 ETH","13,295","0.08 ETH","10,000","3,457","34.57%","811.62 ETH","2022/08/08"
"107","Party Ape Billionaire Club","1.59 ETH","16","7,359.08 ETH","14,263","0.10 ETH","7,232","3,978","55.01%","719.92 ETH","2022/08/16"
"108","More Than Gamers | MTG","0.30 ETH","16","7,325.72 ETH","19,885","0.02 ETH","10,100","3,070","30.40%","189.00 ETH","2022/08/03"
"109","FoxFam","3.69 ETH","34","7,317.77 ETH","20,259","0.11 ETH","9,999","3,445","34.45%","1,086.60 ETH","2022/07/26"
"110","Ape Gang","2.65 ETH","28","7,242.35 ETH","31,141","0.09 ETH","8,283","2,484","29.99%","783.42 ETH","2022/07/04"
"111","Gutter Rats","8.98 ETH","22","7,213.10 ETH","6,407","0.41 ETH","2,998","1,899","63.34%","1,223.41 ETH","2022/08/29"
"112","Little Lemon Friends","1.54 ETH","55","6,989.23 ETH","23,050","0.03 ETH","9,999","5,266","52.67%","279.74 ETH","2022/06/29"
"113","Boonji Project","3.04 ETH","50","6,793.23 ETH","15,882","0.06 ETH","10,311","4,533","43.96%","626.86 ETH","2022/07/20"
"114","GENE_SIS: The Girls of Armament","6.27 ETH","62","6,790.14 ETH","14,117","0.10 ETH","10,000","4,067","40.67%","1,011.77 ETH","2022/06/13"
"115","BYOPill","6.63 ETH","36","6,782.13 ETH","16,705","0.18 ETH","9,999","3,111","31.11%","1,842.27 ETH","2021/07/16"
"116","Gutter Dogs","15.88 ETH","28","6,700.73 ETH","3,990","0.57 ETH","2,953","2,035","68.91%","1,674.35 ETH","2022/08/09"
"117","Cryptoon Goonz","16.60 ETH","46","6,500.92 ETH","13,829","0.36 ETH","6,969","2,950","42.33%","2,515.30 ETH","2022/07/08"
"118","Sipherian Surge","0.73 ETH","8","6,398.84 ETH","15,672","0.09 ETH","10,000","3,614","36.14%","908.74 ETH","2022/06/30"
"119","Dr. ETHvil's 3D FrankenPunks","4.69 ETH","102","6,333.76 ETH","15,965","0.05 ETH","9,999","4,859","48.59%","459.46 ETH","2022/07/25"
"120","AINightbirds","0.90 ETH","43","6,211.01 ETH","31,345","0.02 ETH","10,000","3,508","35.08%","210.27 ETH","2022/08/29"
"121","DystoPunks","1.55 ETH","6","6,183.88 ETH","3,462","0.26 ETH","2,077","668","32.16%","535.95 ETH","2022/07/08"
"122","Trippin' Ape Tribe","25.58 ETH","201","6,182.31 ETH","15,796","0.13 ETH","9,984","8,817","88.31%","1,270.58 ETH","2022/06/01"
"123","Fang Gang","1.64 ETH","42","6,170.21 ETH","22,121","0.04 ETH","8,886","4,208","47.36%","347.50 ETH","2022/07/01"
"124","WVRPS by WarpSound (Official)","2.90 ETH","39","6,162.52 ETH","16,058","0.07 ETH","9,999","4,600","46.00%","742.32 ETH","2022/08/02"
"125","Al Cabones","0.05 ETH","5","6,071.09 ETH","16,640","0.01 ETH","9,997","3,613","36.14%","99.97 ETH","2022/08/08"
"126","SpacePunksClub","1.40 ETH","20","6,060.03 ETH","15,084","0.07 ETH","9,994","4,152","41.54%","699.03 ETH","2022/07/11"
"127","Angry Ape Army","8.74 ETH","12","5,475.33 ETH","4,237","0.73 ETH","3,333","993","29.79%","2,428.40 ETH","2022/08/04"
"128","Lonely Alien Space Club","1.04 ETH","19","5,446.29 ETH","17,666","0.05 ETH","9,926","3,939","39.68%","544.10 ETH","2022/08/29"
"129","Incognito","0.10 ETH","1","5,437.84 ETH","17,326","0.10 ETH","9,993","3,225","32.27%","999.30 ETH","2022/07/14"
"130","DeadHeads","2.44 ETH","20","5,416.04 ETH","16,649","0.12 ETH","10,000","2,746","27.46%","1,219.01 ETH","2022/08/30"
"131","Prime Kong Planet by PAP","5.14 ETH","49","5,395.43 ETH","10,035","0.10 ETH","9,797","3,460","35.32%","1,027.47 ETH","2022/08/08"
"132","Akumu Dragonz","6.56 ETH","111","5,240.05 ETH","10,900","0.06 ETH","10,000","3,947","39.47%","590.88 ETH","2022/08/29"
"133","Party Degenerates","3.53 ETH","50","5,238.50 ETH","10,354","0.07 ETH","9,999","3,562","35.62%","705.59 ETH","2022/08/03"
"134","DentedFeelsNFT","5.66 ETH","48","5,195.55 ETH","22,434","0.12 ETH","11,111","4,901","44.11%","1,309.53 ETH","2022/07/01"
"135","The Yakuza Cats Society","0.70 ETH","22","5,183.15 ETH","16,261","0.03 ETH","8,929","2,702","30.26%","282.58 ETH","2022/07/30"
"136","The Superlative Secret Society","0.46 ETH","19","5,023.46 ETH","21,401","0.02 ETH","11,108","6,020","54.20%","266.43 ETH","2022/08/08"
"137","Women and Weapons","3.38 ETH","33","5,002.44 ETH","19,785","0.10 ETH","10,000","5,839","58.39%","1,024.80 ETH","2022/07/23"
"138","BullsOnTheBlock","8.33 ETH","73","4,948.88 ETH","16,472","0.11 ETH","9,998","2,038","20.38%","1,141.50 ETH","2022/07/06"
"139","8SIAN Main Collection","1.36 ETH","40","4,786.64 ETH","15,165","0.03 ETH","8,888","4,368","49.14%","302.75 ETH","2022/07/26"
"140","Gutter Pigeons","9.48 ETH","22","4,720.83 ETH","3,889","0.43 ETH","2,948","1,931","65.50%","1,269.80 ETH","2022/08/05"
"141","Pop Art Cats by Matt Chessco","2.54 ETH","29","4,720.08 ETH","20,451","0.09 ETH","10,000","4,356","43.56%","876.89 ETH","2022/07/03"
